verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
accept,active,accept,yes,,yes,,yes,,yes,yes,,,,,,
acknowledge,active,acknowledge,yes,,yes,,,,,,,,,,,
add,active,add,yes,,yes,,,,,,,,,,,
address,active,address,yes,,yes,,,,,,,,,,,
admit,active,admit,yes,,yes,,,,,,,,,,,
advertise,active,advertise,yes,,,yes,,,,,,,,,,
advise,active,advise,yes,,,yes,,,,,,,,,,
advise,passive,be advised,,,,,yes,,,,,,yes,,,
affirm,active,affirm,yes,,yes,,,,,,,,,,,
aggravate,passive,be aggravated,,,,,yes,yes,,,,,,,,
agitate,passive,be agitated,,,,,yes,yes,,,,,,,,
agonize,active,agonize,,,,,yes,yes,,,,,,,,
agonize,passive,be agonized,,,,,yes,yes,,,,,,,,
agree,active,agree,yes,,yes,,yes,,yes,yes,,,,,,
alarm,passive,be alarmed,,,,,yes,yes,,,,,,,,
alert,passive,be alerted,,,,,yes,,,,,,yes,,,
allege,active,allege,yes,,yes,,,,,,,,,,,
amaze,passive,be amazed,,,,,yes,yes,,,,,,,,
amuse,passive,be amused,,,,,yes,yes,,,,,,,,
anger,passive,be angered,,,,,yes,yes,,,,,,,,
anguish,passive,be anguished,,,,,yes,yes,,,,,,,,
announce,active,announce,yes,,yes,,,,,,,,,,,
annoy,passive,be annoyed,,,,,yes,yes,,,,,,,,
answer,active,answer,yes,,yes,,,,,,,,,,,
anticipate,active,anticipate,,,,,yes,,yes,yes,,,,,,
apologize,active,apologize,yes,,yes,,,,,,,,,,,
appall,passive,be appalled,,,,,yes,yes,,,,,,,,
appreciate,active,appreciate,,,,,yes,,yes,yes,,,,,,
approve,active,approve,yes,,yes,,,,,,,,,,,
argue,active,argue,yes,,yes,,,,,,,,,,,
arouse,passive,be aroused,,,,,yes,yes,,,,,,,,
articulate,active,articulate,yes,yes,,,,,,,,,,,,
ascertain,active,ascertain,,,,,yes,,yes,,yes,,,,,
assert,active,assert,yes,,yes,,,,,,,,,,,
assess,active,assess,,,,,yes,,yes,,yes,,,,,
assume,active,assume,,,,,yes,,yes,yes,,,,,,
assure,passive,be assured,,,,,yes,,,,,,yes,,,
astonish,passive,be astonished,,,,,yes,yes,,,,,,,,
astound,passive,be astounded,,,,,yes,yes,,,,,,,,
attest,active,attest,yes,,yes,,,,,,,,,,,
authorize,active,authorize,yes,,yes,,,,,,,,,,,
babble,active,babble,yes,yes,,,,,,,,,,,,
baffle,passive,be baffled,,,,,yes,yes,,,,,,,,
bark,active,bark,yes,yes,,,,,,,,,,,,
beam,active,beam,yes,yes,,,,,,,,,,,,
befuddle,passive,be befuddled,,,,,yes,yes,,,,,,,,
believe,active,believe,,,,,yes,,yes,yes,,,,,,
bellow,active,bellow,yes,yes,,,,,,,,,,,,
bet,active,bet,yes,,yes,,,,,,,,,,,
bet,passive,be bet,,,,,yes,,,,,,yes,,,
bicker,active,bicker,yes,,yes,,,,,,,,,,,
bitch,active,bitch,yes,,yes,,,,,,,,,,,
blame,passive,be blamed,,,,,,,,,,,,yes,,
bless,passive,be blessed,,,,,,,,,,,,yes,,
blog,active,blog,yes,yes,,,,,,,,,,,,
boast,active,boast,yes,,yes,,,,,,,,,,,yes
boggle,passive,be boggled,,,,,yes,yes,,,,,,,,
bother,passive,be bothered,,,,,yes,yes,,,,,,,,
brag,active,brag,yes,,yes,,,,,,,,,,,yes
broadcast,active,broadcast,yes,yes,,,,,,,,,,,,
bug,passive,be bugged,,,,,yes,yes,,,,,,,,
cackle,active,cackle,yes,yes,,,,,,,,,,,,
calculate,active,calculate,,,,,yes,,yes,,yes,,,,,
care,active,care,,,,,yes,yes,,,,,,,,
categorize,active,categorize,yes,,,yes,,,,,,,,,,
celebrate,active,celebrate,,,,,yes,yes,,,,,,,,
certify,active,certify,yes,,,,,,,,,,,,,
challenge,active,challenge,yes,,yes,,,,,,,,,,,
challenge,passive,be challenged,,,,,,,,,,,,yes,,
chant,active,chant,yes,yes,,,,,,,,,,,,
charge,active,charge,yes,,yes,,,,,,,,,,,
charm,passive,be charmed,,,,,yes,yes,,,,,,,,
chastise,passive,be chastised,,,,,yes,,,,,,yes,,,
chatter,active,chatter,yes,yes,,,,,,,,,,,,
check,active,check,,,,,yes,,yes,,yes,,,,,
cheer,active,cheer,yes,yes,,,,,,,,,,,,
cheer,passive,be cheered,,,,,yes,yes,,,,,,,,
chronicle,active,chronicle,yes,yes,,,,,,,,,,,,
circulate,active,circulate,yes,,yes,,,,,,,,,,,
claim,active,claim,yes,,yes,,,,,,,,,,,
clarify,active,clarify,yes,,yes,,,,,,,,,,,
come_out,active,come out,yes,,yes,,,,,,,,,,,
comfort,passive,be comforted,,,,,yes,yes,,,,,,,,
comment,active,comment,yes,,yes,,,,,,,,,,,
communicate,active,communicate,yes,,yes,,,,,,,,,,,
complain,active,complain,yes,,yes,,,,,,,,,,,
comprehend,active,comprehend,,,,,yes,,yes,yes,,,,,,
compute,active,compute,,,,,yes,,yes,,yes,,,,,
conceal,active,conceal,yes,,,yes,,,,,,,,,,
concede,active,concede,yes,,yes,,,,,,,,,,,
conceive,active,conceive,,,,,yes,,yes,yes,,,,,,
concern,passive,be concerned,,,,,yes,yes,,,,,,,,
conclude,active,conclude,,,,,yes,,yes,,yes,,,,,
confess,active,confess,yes,,yes,,,,,,,,,,,
confide,active,confide,yes,,yes,,,,,,,,,,,
confirm,active,confirm,yes,,yes,,,,,,,,,,,
congratulate,passive,be congratulated,,,,,yes,,,,,,yes,,,
conjecture,active,conjecture,,,,,yes,,yes,yes,,,,,,
consent,active,consent,yes,,yes,,,,,,,,,,,
console,passive,be consoled,,,,,yes,yes,,,,,,,,
consult,passive,be consulted,,,,,yes,,,,,,yes,,yes,
contact,passive,be contacted,,,,,yes,,,,,,yes,,yes,
contemplate,active,contemplate,,,,,yes,,yes,,,yes,,,,
contend,active,contend,yes,,yes,,,,,,,,,,,
content,passive,be content,,,,,yes,yes,,,,,,,,
contest,active,contest,yes,,yes,,,,,,,,,,,
convey,active,convey,yes,,yes,,,,,,,,,,,
convince,passive,be convinced,,,,,yes,,yes,yes,,,yes,,,
corroborate,active,corroborate,yes,,yes,,,,,,,,,,,
cringe,active,cringe,,,,,yes,yes,,,,,,,,
crush,passive,be crushed,,,,,yes,yes,,,,,,,,
cry,active,cry,yes,yes,,,,,,,,,,,,
curse,active,curse,yes,yes,,,,,,,,,,,,
daydream,active,daydream,,,,,yes,,yes,,,yes,,,,
daze,passive,be dazed,,,,,yes,yes,,,,,,,,
debate,active,debate,yes,,yes,,,,,,,,,,,
