"","verb_renamed","Mean.Proj","commType","sayVerbType"
"1","charge",-0.0333333333333333,"discourse participation",NA
"2","allege",0,"discourse participation","discourse role verb"
"3","demand",0.0333333333333333,"discourse participation","discourse role verb"
"4","fake",0.0333333333333333,"state changing",NA
"5","retract",0.0333333333333333,"discourse participation",NA
"6","contend",0.0666666666666667,"discourse participation","discourse role verb"
"7","decree",0.0666666666666667,"discourse participation","discourse role verb"
"8","fax",0.0666666666666667,"pure","mode verb"
"9","hint",0.0666666666666667,"discourse participation",NA
"10","imply",0.0666666666666667,"discourse participation",NA
"11","jest",0.0666666666666667,"pure","mode verb"
"12","propose",0.0666666666666667,"discourse participation","discourse role verb"
"13","reject",0.0666666666666667,"discourse participation",NA
"14","forecast",0.0689655172413793,"pure",NA
"15","bet",0.1,"discourse participation",NA
"16","dispel",0.1,"discourse participation",NA
"17","holler",0.1,"pure","mode verb"
"18","joke",0.1,"pure","mode verb"
"19","posit",0.1,"discourse participation","discourse role verb"
"20","promise",0.1,"state changing","discourse role verb"
"21","type",0.1,"pure","mode verb"
"22","wager",0.1,"discourse participation",NA
"23","depict",0.133333333333333,"pure",NA
"24","implore",0.133333333333333,"state changing",NA
"25","narrate",0.133333333333333,"pure",NA
"26","proclaim",0.133333333333333,"discourse participation","discourse role verb"
"27","prophesy",0.133333333333333,"pure",NA
"28","quarrel",0.133333333333333,"discourse participation",NA
"29","recap",0.133333333333333,"discourse participation","discourse role verb"
"30","request",0.133333333333333,"discourse participation",NA
"31","rule",0.133333333333333,"discourse participation","discourse role verb"
"32","demonstrate",0.137931034482759,"state changing",NA
"33","challenge",0.166666666666667,"discourse participation",NA
"34","corroborate",0.166666666666667,"discourse participation",NA
"35","debate",0.166666666666667,"discourse participation",NA
"36","establish",0.166666666666667,"discourse participation","discourse role verb"
"37","express",0.166666666666667,"pure",NA
"38","insinuate",0.166666666666667,"discourse participation",NA
"39","insist",0.166666666666667,"state changing","discourse role verb"
"40","lie",0.166666666666667,"state changing","discourse role verb"
"41","mark",0.166666666666667,"pure","discourse role verb"
"42","post",0.166666666666667,"pure","mode verb"
"43","reassert",0.166666666666667,"discourse participation","discourse role verb"
"44","submit",0.166666666666667,"discourse participation",NA
"45","tease",0.166666666666667,"discourse participation","mode verb"
