verb_renamed,verb_AE,verb_BE,Mean.Proj,Mean.Acc,verb_past_AE,verb_past_BE,special requirements,the ballon popped,Mary popped the ballon
add,add,add,0.333333333,4.833333333,added,added,,,
address,address,address,0.466666667,5.533333333,addressed,addressed,,,
admit,admit,admit,0.433333333,5.733333333,admitted,admitted,,,
advertise,advertise,advertise,0.3,5.433333333,advertised,advertised,,,
advise,advise,advise,0.366666667,5.2,advised,advised,,,
affirm,affirm,affirm,0.266666667,5.766666667,affirmed,affirmed,,,
allege,allege,allege,0,5.433333333,alleged,alleged,,,
announce,announce,announce,0.533333333,6.333333333,announced,announced,,,
answer,answer,answer,0.3,5.033333333,answered,answered,,,
apologize,apologize,apologise,0.724137931,5.862068966,apologized,apologised,,,
argue,argue,argue,0.233333333,5.733333333,argued,argued,,,
articulate,articulate,articulate,0.266666667,5.7,articulated,articulated,,,
assert,assert,assert,0.3,5.266666667,asserted,asserted,,,
attest,attest,attest,0.3,5.9,attested,attested,,,
babble,babble,babble,0.4,4.8,babbled,babbled,,,
bellow,bellow,bellow,0.366666667,5.6,bellowed,bellowed,,,
bicker,bicker,bicker,0.3,5.033333333,bickered,bickered,,,
bitch,bitch,bitch,0.633333333,5.766666667,bitched,bitched,,,
blog,blog,blog,0.333333333,5.3,blogged,blogged,,,
boast,boast,boast,0.4,5.866666667,boasted,boasted,,,
brag,brag,brag,0.266666667,5.633333333,bragged,bragged,,,
broadcast,broadcast,broadcast,0.433333333,6.066666667,broadcasted,broadcasted,,,
certify,certify,certify,0.366666667,5.633333333,certified,certified,,,
challenge,challenge,challenge,0.166666667,5.133333333,challenged,challenged,,,
chant,chant,chant,0.233333333,4.6,chanted,chanted,,,
charge,charge,charge,-0.033333333,4.4,charged,charged,,,
chatter,chatter,chatter,0.333333333,4.366666667,chattered,chattered,,,
cheer,cheer,cheer,0.533333333,5.066666667,cheered,cheered,,,
chronicle,chronicle,chronicle,0.333333333,5.166666667,chronicled,chronicled,,,
circulate,circulate,circulate,0.344827586,5.068965517,circulated,circulated,,,
claim,claim,claim,-0.1,6.233333333,claimed,claimed,,,
