"","verb_renamed","Mean.Proj","commType","sayVerbType"
"1","cry",0.833333333333333,"pure","mode verb"
"2","fess up",0.733333333333333,"discourse participation",NA
"3","apologize",0.724137931034483,"discourse participation","discourse role verb"
"4","whine",0.7,"pure","mode verb"
"5","disclose",0.666666666666667,"discourse participation",NA
"6","pout",0.666666666666667,"pure",NA
"7","bitch",0.633333333333333,"discourse participation","mode verb"
"8","document",0.633333333333333,"pure","mode verb"
"9","weep",0.633333333333333,"pure","mode verb"
"10","complain",0.6,"discourse participation","mode verb"
"11","explain",0.6,"discourse participation","discourse role verb"
"12","stress",0.6,"discourse participation",NA
"13","publicize",0.586206896551724,"pure",NA
"14","flaunt",0.566666666666667,"discourse participation",NA
"15","fuss",0.566666666666667,"discourse participation",NA
"16","leak",0.566666666666667,"discourse participation",NA
"17","point out",0.566666666666667,"discourse participation","discourse role verb"
"18","reveal",0.566666666666667,"discourse participation",NA
"19","share",0.566666666666667,"discourse participation",NA
"20","warn",0.551724137931034,"state changing",NA
"21","announce",0.533333333333333,"discourse participation","discourse role verb"
"22","cheer",0.533333333333333,"pure","mode verb"
"23","expose",0.533333333333333,"state changing",NA
"24","log",0.533333333333333,"pure","mode verb"
"25","reiterate",0.533333333333333,"discourse participation","discourse role verb"
"26","snitch",0.533333333333333,"discourse participation",NA
"27","divulge",0.5,"discourse participation",NA
"28","emphasize",0.5,"pure",NA
"29","gab",0.5,"pure",NA
"30","grumble",0.5,"pure","mode verb"
"31","address",0.466666666666667,"discourse participation",NA
"32","gasp",0.466666666666667,"pure","mode verb"
"33","gush",0.466666666666667,"pure","mode verb"
"34","moan",0.466666666666667,"pure","mode verb"
"35","shriek",0.466666666666667,"pure","mode verb"
"36","sob",0.466666666666667,"pure","mode verb"
"37","whimper",0.466666666666667,"pure","mode verb"
"38","admit",0.433333333333333,"discourse participation","discourse role verb"
"39","broadcast",0.433333333333333,"pure","mode verb"
"40","detail",0.433333333333333,"discourse participation",NA
"41","murmur",0.433333333333333,"pure","mode verb"
"42","spout",0.433333333333333,"pure",NA
"43","stammer",0.433333333333333,"pure","mode verb"
"44","voice",0.433333333333333,"pure",NA
