verb,voice,verb_renamed,communicative,pure_comm,discourse_participation_comm,state_changing_comm,emotive_component,private,emotive,cognitive,stative_cog,telic_cog,activity_cog,evidential,perceptual_evidence,reportative_evidence,inferential_evidence,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate,change_of_state_predicate,activity_predicate,canonically_projective,volitional,say_verb,discourse_role_verb,mode_verb,say_by_means,say_by_means_manner,say_by_means_sound,say_by_means_form,say_with_attitude
acknowledge,active,acknowledge,yes,,yes,,,yes,,yes,yes,,,,,,,,,,yes,yes,,,,yes,yes,yes,,,,,,
add,active,add,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
admit,active,admit,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
advise,active,advise,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,,yes,,,,,,,,
agree,active,agree,yes,,yes,,,yes,,yes,yes,,,,,,,,,,yes,yes,,,,,yes,yes,,,,,,
announce,active,announce,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
argue,active,argue,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
assert,active,assert,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
assume,active,assume,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
believe,active,believe,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
claim,active,claim,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
comment,active,comment,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
complain,active,complain,yes,,yes,,yes,,,,,,,,,,,,,,,yes,,yes,,yes,yes,,yes,,,,,yes
concern,passive,be concerned,,,,,,yes,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,
conclude,active,conclude,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,,,,,,,,,,
confirm,active,confirm,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
contend,active,contend,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
convince,passive,be convinced,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
decide,active,decide,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,,,,,,,,,,
declare,active,declare,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
demand,active,demand,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,,,,
demonstrate,active,demonstrate,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,,yes,,,,,,,,
determine,active,determine,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,,,,,,,,,,
discover,active,discover,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,yes,,,,,,,,,
doubt,active,doubt,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
ensure,active,ensure,,,,,,,,,,,,,,,,yes,,,,yes,,,,yes,,,,,,,,
estimate,active,estimate,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,,,,,,,,,,
expect,active,expect,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
explain,active,explain,yes,,yes,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
fear,active,fear,,,,,,yes,yes,,yes,,,,,,,,,,yes,,,,,,,,,,,,,
feel,active,feel,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
felt,active,felt,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
find,active,find,,,,,,yes,,,,,,yes,,,yes,,,,,yes,yes,,yes,,,,,,,,,
hear,active,hear,,,,,,yes,,,,,,yes,yes,,,,,,yes,,,,,,,,,,,,,
hold,active,hold,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
hope,active,hope,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,
imply,active,imply,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,
indicate,active,indicate,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,
insist,active,insist,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,yes,,,,,,
know,active,know,,,,,,yes,,yes,yes,,,,,,,,,,yes,,,,yes,,,,,,,,,
learn,active,learn,,,,,,yes,,,,,,yes,,yes,yes,,,,,yes,yes,,yes,,,,,,,,,
mention,active,mention,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,
