index,task,verb,sentence,neg_sentence,complement,turker_pos_ratings,turker_neg_ratings,bert_pos_entailment_prob,bert_pos_contradiction_prob,bert_pos_neutral_prob,bert_neg_entailment_prob,bert_neg_contradiction_prob,bert_neg_neutral_prob,signature
0,to,move,"Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have not moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the balearics behind, authorities have protected remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9988753,0.000317487,0.00080721,0.000298783,0.9992244,0.000476812,o/o
1,to,decline,Nike declined to be a sponsor.,Nike did not decline to be a sponsor.,Nike was a sponsor.,"-2.0,-2.0,1.0","0.0,0.0,1.0",0.000542647,0.9989157,0.000541668,0.99604994,0.000404797,0.00354531,-/o
2,to,intend,I intend to resume the habit as a delight of old age,I do not intend to resume the habit as a delight of old age,I resume the habit as a delight of old.,"-2.0,1.0,1.0","0.0,0.0,0.0",0.9973685,0.000647876,0.001983605,0.000255813,0.9992046,0.00053962,o/o
3,to,intend,Ashoka intended to use this power to control people.,Ashoka did not intend to use this power to control people.,Ashoka used this power to control people.,"0.0,0.0,1.0","-1.0,0.0,0.0",0.995333,0.001741171,0.002925806,0.000586116,0.9986033,0.000810529,o/o
4,to,intend,Yesterday I said that I intended to live by my wits.,Yesterday I said that I did not intend to live by my wits.,Yesterday i said that i lived by my wits.,"0.0,1.0,2.0","-2.0,-2.0,0.0",0.9979379,0.000745838,0.001316304,0.000225724,0.99945265,0.000321589,o/o
5,to,intend,He had intended to find islands in the Caribbean.,He had not intended to find islands in the Caribbean.,He had found islands in the caribbean.,"0.0,1.0,1.0","0.0,0.0,2.0",0.9924886,0.001346451,0.00616502,0.00225817,0.99548316,0.002258716,o/o
6,to,intend,John intended to look through the desk first.,John did not intend to look through the desk first.,John looked through the desk first.,"0.0,0.0,1.0","-1.0,0.0,1.0",0.99854493,0.000446213,0.001008815,0.001582556,0.9971879,0.001229568,o/o
7,to,intend,I intend to do the same for myself as well.,I do not intend to do the same for myself as well.,I do the same for myself as well.,"0.0,0.0,1.0","-2.0,-2.0,0.0",0.9969277,0.000461531,0.002610713,0.000167303,0.9993936,0.000439092,o/o
8,to,intend,Competition intended to increase quality.,Competition did not intend to increase quality.,Competition increased quality.,"0.0,0.0,1.0","0.0,0.0,0.0",0.9954798,0.000732871,0.003787271,0.000147734,0.9995728,0.000279398,o/o
9,to,intend,The man intended to shoot the rider. ,The man did not intend to shoot the rider. ,The man shot the rider.,"0.0,0.0,0.0","-2.0,0.0,0.0",0.9923083,0.002807495,0.00488401,0.000161967,0.99941325,0.000424855,o/o
10,to,attempt,People attempt to smooth their standard of living over time according to the life-cycle model of saving.,People do not attempt to smooth their standard of living over time according to the life-cycle model of saving.,People smooth their standard of living over time according to the life-cycle model of saving.,"0.0,1.0,1.0","-1.0,-1.0,-1.0",0.9977423,0.000695241,0.001562504,0.000218097,0.99938846,0.000393374,o/-
