verb;communicative;privative;emotive;cognitive;evidential;negative
manufacture;?;;;;;
blame;?;;;;;
bless;?;;;;;
contact;?;;;;;
test;?;;;;;
misinform;DEMONSTRATE;;;;;yes
demonstrate;DEMONSTRATE;;;;;
imply;DEMONSTRATE;;;;;
mislead;DEMONSTRATE;;;;;
prove;DEMONSTRATE;;;;;
show;DEMONSTRATE;;;;;
conceal;DEMONSTRATE;;;;;
decide;DEMONSTRATE;;;;;
categorize;DEMONSTRATE;;;;;
diagnose;DEMONSTRATE;;;;;
educate;DEMONSTRATE;;;;;
elect;DEMONSTRATE;;;;;
expose;DEMONSTRATE;;;;;
hush_up;DEMONSTRATE;;;;;
omit;DEMONSTRATE;;;;;
resolve;DEMONSTRATE;;;;;
retract;DEMONSTRATE;;;;;
showcase;DEMONSTRATE;;;;;
pinpoint;DEMONSTRATE;;;;;
select;DEMONSTRATE;;;;;
specify;DEMONSTRATE;;;;;
verify;DEMONSTRATE;;;;;
ensure;DEMONSTRATE;;;;;
guarantee;DEMONSTRATE;;;;;
signify;DEMONSTRATE;;;;;
stipulate;DEMONSTRATE;;;;;
challenge;DISCOURSE PARTICIPATION;;;;;
dispel;DISCOURSE PARTICIPATION;;;;;
negotiate;DISCOURSE PARTICIPATION;;;;;
posit;DISCOURSE PARTICIPATION;;;;;
submit;DISCOURSE PARTICIPATION;;;;;
underline;DISCOURSE PARTICIPATION;;;;;
contest;DISCOURSE PARTICIPATION;;;;;
update;DISCOURSE PARTICIPATION;;;;;
move;DISCOURSE PARTICIPATION;;;;;
intercept;DISCOURSE PARTICIPATION;;;;;
listen;DISCOURSE PARTICIPATION;;;;;
reject;DISCOURSE PARTICIPATION;;;;;
uphold;DISCOURSE PARTICIPATION;;;;;
record;RECORD;;;;;
videotape;RECORD;;;;;
display;SHOW;;;;;
exhibit;SHOW;;;;;
signal;SHOW;;;;;
simulate;SHOW;;;;;
sketch;SHOW;;;;;
visualize;SHOW;;;;;
mark;SHOW;;;;;
add;yes;;;;;
affirm;yes;;;;;
announce;yes;;;;;
answer;yes;;;;;
apologize;yes;;;;;
argue;yes;;;;;
articulate;yes;;;;;
assert;yes;;;;;
assure;yes;;;;;
babble;yes;;;;;
bark;yes;;;;;
bellow;yes;;;;;
bicker;yes;;;;;
bitch;yes;;;;;
blog;yes;;;;;
boast;yes;;;;;
brag;yes;;;;;
broadcast;yes;;;;;
cackle;yes;;;;;
chant;yes;;;;;
chatter;yes;;;;;
cheer;yes;;;;;
claim;yes;;;;;
comment;yes;;;;;
communicate;yes;;;;;
complain;yes;;;;;
cry;yes;;;;;
curse;yes;;;;;
declare;yes;;;;;
demand;yes;;;;;
describe;yes;;;;;
detail;yes;;;;;
dictate;yes;;;;;
discuss;yes;;;;;
divulge;yes;;;;;
email;yes;;;;;
exclaim;yes;;;;;
explain;yes;;;;;
fax;yes;;;;;
foretell;yes;;;;;
gab;yes;;;;;
giggle;yes;;;;;
gossip;yes;;;;;
groan;yes;;;;;
growl;yes;;;;;
grumble;yes;;;;;
grunt;yes;;;;;
gush;yes;;;;;
hint;yes;;;;;
holler;yes;;;;;
hoot;yes;;;;;
howl;yes;;;;;
implore;yes;;;;;
inform;yes;;;;;
joke;yes;;;;;
leak;yes;;;;;
lecture;yes;;;;;
mention;yes;;;;;
moan;yes;;;;;
mumble;yes;;;;;
murmur;yes;;;;;
mutter;yes;;;;;
narrate;yes;;;;;
note;yes;;;;;
notify;yes;;;;;
okay;yes;;;;;
persuade;yes;;;;;
phone;yes;;;;;
pout;yes;;;;;
praise;yes;;;;;
pray;yes;;;;;
preach;yes;;;;;
proclaim;yes;;;;;
promise;yes;;;;;
prophesy;yes;;;;;
publish;yes;;;;;
question;yes;;;;;
quote;yes;;;;;
radio;yes;;;;;
rant;yes;;;;;
rave;yes;;;;;
reassert;yes;;;;;
recap;yes;;;;;
reiterate;yes;;;;;
relate;yes;;;;;
remark;yes;;;;;
reminisce;yes;;;;;
repeat;yes;;;;;
reply;yes;;;;;
report;yes;;;;;
respond;yes;;;;;
restate;yes;;;;;
retort;yes;;;;;
say;yes;;;;;
