verb,voice,verb_renamed,communicative,pure,discourse_participation,state_changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate
accept,active,accept,yes,,yes,,yes,,yes,yes,,,,,,,yes,yes
acknowledge,active,acknowledge,yes,,yes,,yes,,yes,yes,,,,,,,yes,yes
add,active,add,yes,,yes,,,,,,,,,,,,,yes
address,active,address,yes,,yes,,,,,,,,,,,,,yes
admit,active,admit,yes,,yes,,,,,,,,,,,,,yes
advertise,active,advertise,yes,,,yes,,,,,,,,,,,,yes
advise,active,advise,yes,,,yes,,,,,,,,,,,,yes
advise,passive,be advised,,,,,yes,,,,,,yes,,,,,yes
affirm,active,affirm,yes,,yes,,,,,,,,,,,,,yes
aggravate,passive,be aggravated,,,,,yes,yes,,,,,,,,,yes,
agitate,passive,be agitated,,,,,yes,yes,,,,,,,,,yes,
agonize,active,agonize,,,,,yes,,yes,,,yes,,,,,,yes
agonize,passive,be agonized,,,,,yes,yes,,,,,,,,,yes,
agree,active,agree,yes,,yes,,yes,,yes,yes,,,,,,,yes,yes
alarm,passive,be alarmed,,,,,yes,yes,,,,,,,,,yes,
alert,passive,be alerted,,,,,yes,,,,,,yes,,,,,yes
allege,active,allege,yes,,yes,,,,,,,,,,,,,yes
amaze,passive,be amazed,,,,,yes,yes,,,,,,,,,yes,
amuse,passive,be amused,,,,,yes,yes,,,,,,,,,yes,
anger,passive,be angered,,,,,yes,yes,,,,,,,,,yes,
anguish,passive,be anguished,,,,,yes,yes,,,,,,,,,yes,
announce,active,announce,yes,,yes,,,,,,,,,,,,,yes
annoy,passive,be annoyed,,,,,yes,yes,,,,,,,,,yes,
answer,active,answer,yes,,yes,,,,,,,,,,,,,yes
anticipate,active,anticipate,,,,,yes,,yes,yes,,,,,,,yes,
apologize,active,apologize,yes,,yes,,,,,,,,,,,,,yes
appall,passive,be appalled,,,,,yes,yes,,,,,,,,,yes,
appreciate,active,appreciate,,,,,yes,,yes,yes,,,,,,,yes,
approve,active,approve,yes,,yes,,,,,,,,,,,,,yes
argue,active,argue,yes,,yes,,,,,,,,,,,,,yes
arouse,passive,be aroused,,,,,yes,yes,,,,,,,,,yes,
articulate,active,articulate,yes,yes,,,,,,,,,,,,,,yes
ascertain,active,ascertain,,,,,yes,,yes,,yes,,,,,,,yes
assert,active,assert,yes,,yes,,,,,,,,,,,,,yes
assess,active,assess,,,,,yes,,yes,,yes,,,,,,,yes
assume,active,assume,,,,,yes,,yes,yes,,,,,,,yes,
assure,passive,be assured,,,,,yes,,,,,,yes,,,,,yes
astonish,passive,be astonished,,,,,yes,yes,,,,,,,,,yes,
astound,passive,be astounded,,,,,yes,yes,,,,,,,,,yes,
attest,active,attest,yes,,yes,,,,,,,,,,,,,yes
authorize,active,authorize,yes,,yes,,,,,,,,,,,,,yes
babble,active,babble,yes,yes,,,,,,,,,,,,,,yes
baffle,passive,be baffled,,,,,yes,yes,,,,,,,,,yes,
bark,active,bark,yes,yes,,,,,,,,,,,,,,yes
beam,active,beam,yes,yes,,,,,,,,,,,,,,yes
befuddle,passive,be befuddled,,,,,yes,yes,,,,,,,,,yes,
believe,active,believe,,,,,yes,,yes,yes,,,,,,,yes,
