"","verb_renamed","verb","voice","predicateType","V.Mean.Sum","A.Mean.Sum","D.Mean.Sum","Mean.Proj","CILow","CIHigh","YMin.Proj","YMax.Proj"
"1","add","add","active","communicative",6.23,4,6.79,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"2","address","address","active","communicative",6.11,3.05,4.89,0.466666666666667,0.200833333333333,0.2,0.265833333333333,0.666666666666667
"3","admit","admit","active","communicative",5.56,3.35,4.56,0.433333333333333,0.166666666666667,0.166666666666667,0.266666666666667,0.6
"4","advertise","advertise","active","communicative",5.16,4.29,5.74,0.3,0.2,0.2,0.1,0.5
"5","be advised","advise","passive","evidential",5.44,3.38,6.41,0.566666666666667,0.1675,0.2,0.399166666666667,0.766666666666667
"6","advise","advise","active","communicative",5.44,3.38,6.41,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"7","be aggravated","aggravate","passive","emotive",2.55,5.9,4.85,0.833333333333333,0.1675,0.133333333333333,0.665833333333333,0.966666666666667
"8","be agitated","agitate","passive","emotive",3.36,5.82,4.55,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"9","be alarmed","alarm","passive","emotive",3.86,6.85,6.58,0.689655172413793,0.206896551724138,0.172413793103448,0.482758620689655,0.862068965517241
"10","be alerted","alert","passive","evidential",5.38,5.14,6.58,0.533333333333333,0.233333333333333,0.2,0.3,0.733333333333333
"11","be amazed","amaze","passive","emotive",7.24,5,5.83,0.866666666666667,0.133333333333333,0.1,0.733333333333333,0.966666666666667
"12","be amused","amuse","passive","emotive",7.1,5.17,6.8,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"13","be angered","anger","passive","emotive",2.5,5.93,5.14,0.7,0.266666666666667,0.233333333333333,0.433333333333333,0.933333333333333
"14","be anguished","anguish","passive","emotive",3.14,5.41,4.27,0.7,0.166666666666667,0.166666666666667,0.533333333333333,0.866666666666667
"15","announce","announce","active","communicative",5.52,3.65,5.48,0.533333333333333,0.2,0.2,0.333333333333333,0.733333333333333
"16","be annoyed","annoy","passive","emotive",2.49,5.04,4.64,0.766666666666667,0.233333333333333,0.2,0.533333333333333,0.966666666666667
"17","answer","answer","active","communicative",6.1,4,5.95,0.3,0.2,0.2,0.1,0.5
"18","anticipate","anticipate","active","cognitive",6,5.7,5.36,0.4,0.166666666666667,0.166666666666667,0.233333333333333,0.566666666666667
"19","apologize","apologize","active","communicative",4.94,3.52,4.22,0.724137931034483,0.241379310344828,0.172413793103448,0.482758620689655,0.896551724137931
"20","appreciate","appreciate","active","cognitive",7.33,3.1,7,0.766666666666667,0.233333333333333,0.167499999999999,0.533333333333333,0.934166666666666
"21","approve","approve","active","communicative",7,4.09,7.26,0.666666666666667,0.266666666666667,0.2,0.4,0.866666666666667
"22","argue","argue","active","communicative",3.15,6.67,4.77,0.233333333333333,0.133333333333333,0.166666666666667,0.1,0.4
"23","be aroused","arouse","passive","emotive",6.67,6.21,6.1,0.7,0.166666666666667,0.166666666666667,0.533333333333333,0.866666666666667
"24","articulate","articulate","active","communicative",6.55,4.27,6.89,0.266666666666667,0.233333333333333,0.2,0.0333333333333333,0.466666666666667
"25","ascertain","ascertain","active","cognitive",5.3,3.17,6.29,0.3,0.2,0.2,0.1,0.5
"26","assert","assert","active","communicative",5.68,4.64,5.93,0.3,0.233333333333333,0.200833333333333,0.0666666666666667,0.500833333333333
"27","assess","assess","active","cognitive",5.84,3.45,5.21,0.233333333333333,0.133333333333333,0.166666666666667,0.1,0.4
"28","assume","assume","active","cognitive",4.41,4.2,6.21,0.0333333333333333,0.1,0.1,-0.0666666666666667,0.133333333333333
"29","be assured","assure","passive","evidential",6.33,3.1,6.52,0.133333333333333,0.166666666666667,0.166666666666667,-0.0333333333333333,0.3
"30","be astonished","astonish","passive","emotive",5.55,5.38,6,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"31","be astounded","astound","passive","emotive",6.3,5.05,5.56,0.9,0.1,0.1,0.8,1
"32","attest","attest","active","communicative",5.1,3.68,6.26,0.3,0.2,0.200833333333333,0.1,0.500833333333333
"33","authorize","authorize","active","communicative",5.37,4.67,6.54,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"34","babble","babble","active","communicative",4.55,4,4.74,0.4,0.2,0.2,0.2,0.6
"35","bark","bark","active","communicative",4.86,3.4,4.82,0.275862068965517,0.241379310344828,0.241379310344828,0.0344827586206897,0.517241379310345
"36","beam","beam","active","communicative",5.74,3.59,6.54,0.3,0.233333333333333,0.2,0.0666666666666667,0.5
"37","believe","believe","active","cognitive",7.05,3.33,6.56,0,0.133333333333333,0.133333333333333,-0.133333333333333,0.133333333333333
"38","bellow","bellow","active","communicative",4.63,4.75,6.26,0.366666666666667,0.2,0.2,0.166666666666667,0.566666666666667
"39","be bet","bet","passive","evidential",4.95,4.76,5.5,0.0344827586206897,0.103448275862069,0.137931034482759,-0.0689655172413793,0.172413793103448
"40","bet","bet","active","communicative",4.95,4.76,5.5,0.1,0.1,0.1,0,0.2
"41","bicker","bicker","active","communicative",2.81,5.13,4.54,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"42","bitch","bitch","active","communicative",2.55,5.95,3.65,0.633333333333333,0.166666666666667,0.166666666666667,0.466666666666667,0.8
"43","blog","blog","active","communicative",5.14,3.61,6.11,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"44","boast","boast","active","communicative",4.24,4.36,6.33,0.4,0.2,0.2,0.2,0.6
"45","be bothered","bother","passive","emotive",4.44,4.2,4.22,0.966666666666667,0.0666666666666667,0.0333333333333333,0.9,1
"46","brag","brag","active","communicative",4.05,3.5,5.32,0.266666666666667,0.266666666666667,0.233333333333333,0,0.5
"47","broadcast","broadcast","active","communicative",4.89,4.41,4.92,0.433333333333333,0.233333333333333,0.233333333333333,0.2,0.666666666666667
"48","be bugged","bug","passive","emotive",3.45,6.06,4.08,0.7,0.2,0.166666666666667,0.5,0.866666666666667
"49","calculate","calculate","active","cognitive",4.89,3.18,6.39,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"50","care","care","active","emotive",7.64,2.67,6.56,0.466666666666667,0.233333333333333,0.2,0.233333333333333,0.666666666666667
"51","celebrate","celebrate","active","communicative",7.84,6.73,6.12,0.733333333333333,0.166666666666667,0.133333333333333,0.566666666666667,0.866666666666667
